Year,Gov_Balance_GDP,Foreign_Balance_GDP,Top_10_Share,Bottom_90_Share,Private_Balance_GDP,Top_10_Balance,Bottom_90_Balance
1950,-1.35172111859027,0.244106277537657,0.33,0.6699999999999999,1.107614841052613,0.3655128975473623,0.7421019435052506
1951,-1.35172111859027,0.244106277537657,0.329,0.671,1.107614841052613,0.3644052827063097,0.7432095583463033
1952,-1.35172111859027,0.244106277537657,0.328,0.6719999999999999,1.107614841052613,0.3632976678652571,0.7443171731873558
1953,-1.35172111859027,0.244106277537657,0.327,0.673,1.107614841052613,0.3621900530242045,0.7454247880284086
1954,-1.35172111859027,0.244106277537657,0.326,0.6739999999999999,1.107614841052613,0.36108243818315183,0.7465324028694611
1955,-1.35172111859027,0.244106277537657,0.325,0.675,1.107614841052613,0.35997482334209924,0.7476400177105138
1956,-1.35172111859027,0.244106277537657,0.324,0.6759999999999999,1.107614841052613,0.35886720850104664,0.7487476325515663
1957,-1.35172111859027,0.244106277537657,0.323,0.677,1.107614841052613,0.357759593659994,0.749855247392619
1958,-1.35172111859027,0.244106277537657,0.322,0.6779999999999999,1.107614841052613,0.3566519788189414,0.7509628622336715
1959,-1.35172111859027,0.244106277537657,0.321,0.679,1.107614841052613,0.3555443639778888,0.7520704770747243
1960,-1.35172111859027,0.244106277537657,0.32,0.6799999999999999,1.107614841052613,0.35443674913683615,0.7531780919157768
1961,-1.35172111859027,0.244106277537657,0.3195,0.6805,1.107614841052613,0.35388294171630985,0.7537318993363031
1962,-1.35172111859027,0.244106277537657,0.319,0.681,1.107614841052613,0.35332913429578355,0.7542857067568295
1963,-1.35172111859027,0.244106277537657,0.3185,0.6815,1.107614841052613,0.35277532687525726,0.7548395141773557
1964,-1.35172111859027,0.244106277537657,0.318,0.6819999999999999,1.107614841052613,0.35222151945473096,0.755393321597882
1965,-1.35172111859027,0.244106277537657,0.3175,0.6825,1.107614841052613,0.3516677120342046,0.7559471290184083
1966,-1.35172111859027,0.244106277537657,0.317,0.683,1.107614841052613,0.3511139046136783,0.7565009364389347
1967,-1.35172111859027,0.244106277537657,0.3165,0.6835,1.107614841052613,0.350560097193152,0.7570547438594609
1968,-1.35172111859027,0.244106277537657,0.316,0.6839999999999999,1.107614841052613,0.3500062897726257,0.7576085512799872
1969,-1.35172111859027,0.244106277537657,0.3155,0.6845,1.107614841052613,0.3494524823520994,0.7581623587005136
1970,-1.35172111859027,0.244106277537657,0.315,0.685,1.107614841052613,0.3488986749315731,0.75871616612104
1971,-1.35172111859027,-0.0841310039919303,0.3175,0.6825,1.4358521225822003,0.4558830489198486,0.9799690736623516
1972,-1.35172111859027,-0.411223428790331,0.32,0.6799999999999999,1.762944547380601,0.5641422551617923,1.1988022922188084
1973,-1.01025974900658,0.53178950676874,0.3225,0.6775,0.47847024223784007,0.15430665312170344,0.32416358911613663
1974,-0.100954995427904,0.110015059120151,0.325,0.675,-0.009060063692247003,-0.002944520699980276,-0.006115542992266727
1975,-2.39894973244766,1.06118805581802,0.3275,0.6725,1.3377616766296399,0.4381169490962071,0.8996447275334328
1976,-3.40448337044921,0.204973598973424,0.33,0.6699999999999999,3.199509771475786,1.0558382245870095,2.1436715468887764
1977,-2.05396608554221,-0.725324786989883,0.3325,0.6675,2.7792908725320933,0.924114215116921,1.8551766574151722
1978,-1.74349453286891,-0.66962947339236,0.335,0.665,2.41312400626127,0.8083965420975255,1.6047274641637446
1979,-0.666074684861036,-0.00596422303529853,0.3375,0.6625,0.6720389078963346,0.22681313141501294,0.44522577648132167
1980,-1.76949834232023,0.0744407233804418,0.34,0.6599999999999999,1.6950576189397881,0.576319590439528,1.11873802850026
1981,-1.48891142957012,0.149982491648844,0.34400000000000003,0.6559999999999999,1.338928937921276,0.460591554644919,0.878337383276357
1982,-3.13925310478622,-0.347121184979076,0.34800000000000003,0.6519999999999999,3.4863742897652963,1.2132582528383231,2.273116036926973
1983,-5.20522900420964,-1.21688325768745,0.35200000000000004,0.6479999999999999,6.42211226189709,2.260583516187776,4.1615287457093135
1984,-4.04669788808387,-2.45214189670976,0.35600000000000004,0.6439999999999999,6.49883978479363,2.3135869633865327,4.185252821407097
1985,-4.27773446241616,-2.86830150595336,0.36,0.64,7.14603596836952,2.5725729486130273,4.573463019756493
1986,-4.57089228367962,-3.21366503109093,0.364,0.636,7.7845573147705505,2.83357886257648,4.95097845219407
1987,-2.96876657367387,-3.30875151769798,0.368,0.632,6.27751809137185,2.3101266576248407,3.9673914337470095
1988,-2.98141599308538,-2.3156580866612,0.372,0.628,5.297074079746579,1.9705115576657275,3.326562522080852
1989,-2.62160600399179,-1.76379666689119,0.376,0.624,4.38540267088298,1.6489114042520006,2.7364912666309795
1990,-3.66652222384702,-1.32399955459737,0.38,0.62,4.99052177844439,1.8963982758088682,3.094123502635522
1991,-4.37032092052635,0.0462965293516911,0.385,0.615,4.3240243911746585,1.6647493906022435,2.659275000572415
1992,-4.4235511501187,-0.791448803104507,0.39,0.61,5.214999953223208,2.0338499817570512,3.1811499714661564
1993,-3.69654908560238,-1.23616054042839,0.395,0.605,4.9327096260307695,1.948420302282154,2.9842893237486154
1994,-2.79104450576323,-1.66925292387951,0.4,0.6,4.46029742964274,1.784118971857096,2.676178457785644
1995,-1.97872992947805,-1.48644935848023,0.405,0.595,3.4651792879582803,1.4033976116231037,2.0617816763351766
1996,-1.38087842596705,-1.54496736206885,0.41,0.5900000000000001,2.9258457880359,1.1995967730947188,1.726249014941181
1997,-0.231068191981285,-1.64061330890365,0.415,0.585,1.871681500884935,0.776747822867248,1.0949336780176868
1998,0.800633957150187,-2.37273875749317,0.42,0.5800000000000001,1.572104800342983,0.6602840161440529,0.9118207841989302
1999,1.28675895283118,-2.97598180084223,0.425,0.575,1.6892228480110498,0.7179197104046962,0.9713031376063536
2000,2.23364707407558,-3.92088614748242,0.43,0.5700000000000001,1.68723907340684,0.7255128015649412,0.961726271841899
2001,0.0139813817668225,-3.72407498836611,0.43374999999999997,0.56625,3.7100936065992878,1.609253101862441,2.100840504736847
2002,-2.84500673824356,-4.17333961025019,0.4375,0.5625,7.0183463484937505,3.070526527466016,3.9478198210277347
2003,-4.07842677794594,-4.55898086099347,0.44125000000000003,0.55875,8.637407638939411,3.8112561206820152,4.8261515182573955
2004,-3.82684952609685,-5.20485343641858,0.445,0.5549999999999999,9.03170296251543,4.019107818319366,5.012595144196063
2005,-3.03664584104647,-5.74598170416952,0.44875,0.55125,8.78262754521599,3.9412041109156752,4.841423434300315
2006,-2.10572233445438,-5.91101922107059,0.4525,0.5475,8.01674155552497,3.6275755538750487,4.3891660016499205
2007,-2.43871470522591,-5.08872774231253,0.45625000000000004,0.54375,7.527442447538441,3.434395616689414,4.093046830849027
2008,-5.24151691008099,-4.71586121002055,0.46,0.54,9.95737812010154,4.5803939352467085,5.376984184854832
2009,-10.1899715654363,-2.62283669627863,0.46166666666666667,0.5383333333333333,12.812808261714931,5.9152464808250595,6.8975617808898715
2010,-9.99381589076469,-2.87064270506825,0.4633333333333334,0.5366666666666666,12.86445859583294,5.960532482735929,6.90392611309701
2011,-8.94621553014357,-2.91862137859132,0.465,0.5349999999999999,11.86483690873489,5.517149162561724,6.347687746173166
2012,-7.30438555695748,-2.57236812074952,0.4666666666666667,0.5333333333333333,9.876753677707,4.609151716263267,5.2676019614437335
2013,-4.15958116422934,-2.01538414033942,0.4683333333333333,0.5316666666666667,6.17496530456876,2.8919420843063692,3.283023220262391
2014,-3.71382130799462,-2.10805505161045,0.47,0.53,5.82187635960507,2.7362818890143825,3.0855944705906873
2015,-3.21367479650506,-2.2434721228246,0.4716666666666667,0.5283333333333333,5.457146919329659,2.5739542969504896,2.8831926223791697
2016,-3.85269820589599,-2.11937229657855,0.47333333333333333,0.5266666666666666,5.972070502474541,2.826780037837949,3.145290464636591
2017,-2.96455420661531,-1.88739358215214,0.475,0.525,4.85194778876745,2.3046751996645383,2.5472725891029113
2018,-4.80773313491446,-2.13796218132331,0.4766666666666667,0.5233333333333333,6.94569531623777,3.3107814340733372,3.6349138821644327
2019,-5.3986389282492,-2.06708055581828,0.47833333333333333,0.5216666666666667,7.46571948406748,3.5711024865456116,3.894616997521869
2020,-14.5609175574621,-2.81809426941685,0.48,0.52,17.37901182687895,8.341925676901896,9.037086149977055
2021,-12.8565955081564,-3.68274086718403,0.48166666666666663,0.5183333333333333,16.53933637534043,7.966447020788973,8.572889354551455
2022,-4.48836352890327,-3.87872626619871,0.48333333333333334,0.5166666666666666,8.36708979510198,4.0440934009659575,4.322996394136023
2023,-7.25405214191401,-3.40030482379486,0.485,0.515,10.654356965708871,5.167363128368803,5.486993837340068
2024,-7.15556829013073,-4.12262463415284,0.48666666666666664,0.5133333333333334,11.27819292428357,5.48872055648467,5.7894723677989
2025,-7.15556829013073,-4.12262463415284,0.48833333333333334,0.5116666666666667,11.27819292428357,5.50751754469181,5.7706753795917605
2026,-7.15556829013073,-4.12262463415284,0.49,0.51,11.27819292428357,5.526314532898949,5.75187839138462
